ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
323294;delete;D0;true
222;delete;D0;true
223;delete;D0;true
224;delete;D0;true
230;delete;D0;true
323299;delete;D0;true
231;delete;D1;false
323308;delete;D0;true
232;delete;D0;true
323309;delete;D0;true
1003;delete;D0;true
237;delete;D0;true
323305;delete;D0;true
238;delete;D0;true
323306;delete;D0;true
239;delete;D0;true
323316;delete;D0;true
323318;delete;D0;true
244;delete;D0;true
245;delete;D0;true
323314;delete;D0;true
1014;delete;D0;true
1100006;delete;D0;true
246;delete;D0;true
248;delete;D0;true
1017;delete;D0;true
1100011;delete;D0;true
1019;delete;D0;true
252;delete;D0;true
323321;delete;D0;true
253;delete;D0;true
323322;delete;D0;true
256;merge;M0;true
0;merge;M0;true
1;merge;M3;false
323333;merge;M0;true
2;merge;M0;true
1028;merge;M0;true
4;merge;M0;true
5;merge;M0;true
1030;merge;M0;true
262;merge;M0;true
6;merge;M0;true
263;merge;M0;true
7;merge;M0;true
1032;merge;M0;true
1033;merge;M0;true
323341;merge;M0;true
9;merge;M0;true
10;merge;M0;true
11;merge;M0;true
323336;merge;M0;true
268;merge;M0;true
13;merge;M0;true
323337;merge;M0;true
270;merge;M0;true
14;merge;M0;true
10000;merge;M0;true
272;merge;M0;true
10001;merge;M0;true
1041;merge;M0;true
273;merge;M0;true
18;merge;M0;true
274;merge;M0;true
323351;merge;M0;true
275;merge;M0;true
20;merge;M0;true
276;merge;M0;true
323345;merge;M1;true
10000013;merge;M0;true
277;merge;M0;true
1045;merge;M0;true
278;merge;M0;true
22;merge;M0;true
323347;merge;M0;true
24;merge;M0;true
25;merge;M0;true
10000001;merge;M0;true
1049;merge;M0;true
281;merge;M0;true
26;merge;M0;true
27;merge;M0;true
323352;merge;M0;true
284;merge;M0;true
323353;merge;M0;true
285;merge;M0;true
29;merge;M0;true
30;merge;M0;true
323354;merge;M0;true
31;merge;M0;true
32;merge;M0;true
288;merge;M0;true
323365;merge;M0;true
289;merge;M0;true
34;merge;M0;true
290;merge;M0;true
291;merge;M0;true
36;merge;M0;true
323360;merge;M0;true
323361;merge;M0;true
38;merge;M0;true
39;merge;M0;true
323363;merge;M0;true
40;merge;M0;true
41;merge;M0;true
44;merge;M0;true
323368;merge;M0;true
45;merge;M0;true
47;merge;M0;true
48;merge;M2;false
10000040;merge;M0;true
49;merge;M0;true
50;merge;M0;true
563;merge;M0;true
52;merge;M0;true
565;merge;M0;true
54;merge;M0;true
57;merge;M0;true
59;merge;M0;true
60;merge;M0;true
61;merge;M1;true
829;merge;M0;true
66;merge;M3;false
67;merge;M0;true
71;merge;M0;true
72;merge;M0;true
76;merge;M0;true
78;merge;M0;true
81;merge;M0;true
82;merge;M0;true
83;merge;M0;true
96;merge;M0;true
11000014;merge;M0;true
106;merge;M0;true
108;merge;M0;true
133;merge;M0;true
134;merge;M0;true
139;merge;M0;true
142;merge;M0;true
147;merge;M0;true
155;merge;M0;true
323236;merge;M0;true
323239;merge;M0;true
164;merge;M0;true
100007;merge;M0;true
167;merge;M0;true
323241;merge;M1;true
323242;merge;M0;true
323243;merge;M0;true
178;merge;M0;true
949;merge;M0;true
182;merge;M0;true
183;merge;M0;true
185;merge;M0;true
323261;merge;M0;true
701;merge;M0;true
703;merge;M0;true
323270;merge;M0;true
198;merge;M0;true
10000222;merge;M0;true
206;merge;M0;true
208;merge;M0;true
209;merge;M0;true
210;merge;M0;true
212;merge;M0;true
213;merge;M0;true
214;merge;M0;true
323283;merge;M0;true
216;merge;M0;true
323293;merge;M0;true
323294;merge;M0;true
222;merge;M0;true
223;merge;M0;true
224;merge;M0;true
230;merge;M1;true
323299;merge;M0;true
231;merge;M1;true
323308;merge;M0;true
232;merge;M0;true
323309;merge;M0;true
1003;merge;M0;true
237;merge;M0;true
323305;merge;M0;true
238;merge;M0;true
323306;merge;M0;true
239;merge;M0;true
323316;merge;M0;true
323318;merge;M0;true
244;merge;M0;true
245;merge;M0;true
323314;merge;M0;true
1014;merge;M0;true
1100006;merge;M0;true
246;merge;M0;true
248;merge;M0;true
1017;merge;M3;false
1100011;merge;M0;true
1019;merge;M0;true
252;merge;M0;true
323321;merge;M0;true
253;merge;M0;true
323322;merge;M0;true
256;extract;E0;true
0;extract;E1;true
1;extract;E1;true
323333;extract;E1;true
2;extract;E0;true
1028;extract;E0;true
4;extract;E0;true
5;extract;E0;true
1030;extract;E1;true
262;extract;E0;true
6;extract;E0;true
263;extract;E0;true
7;extract;E0;true
1032;extract;E1;true
1033;extract;E0;true
323341;extract;E1;true
9;extract;E0;true
10;extract;E0;true
11;extract;E0;true
323336;extract;E0;true
268;extract;E1;true
13;extract;E0;true
323337;extract;E0;true
270;extract;E0;true
14;extract;E0;true
10000;extract;E0;true
272;extract;E0;true
10001;extract;E0;true
1041;extract;E0;true
273;extract;E0;true
18;extract;E0;true
274;extract;E0;true
323351;extract;E0;true
275;extract;E0;true
20;extract;E0;true
276;extract;E0;true
323345;extract;E1;true
10000013;extract;E0;true
277;extract;E0;true
1045;extract;E0;true
278;extract;E0;true
22;extract;E0;true
323347;extract;E0;true
24;extract;E1;true
25;extract;E0;true
10000001;extract;E1;true
1049;extract;E0;true
281;extract;E0;true
26;extract;E0;true
27;extract;E0;true
323352;extract;E1;true
284;extract;E0;true
323353;extract;E1;true
285;extract;E0;true
29;extract;E0;true
30;extract;E0;true
323354;extract;E1;true
31;extract;E0;true
32;extract;E0;true
288;extract;E1;true
323365;extract;E0;true
289;extract;E1;true
34;extract;E0;true
290;extract;E0;true
291;extract;E0;true
36;extract;E0;true
323360;extract;E0;true
323361;extract;E0;true
38;extract;E0;true
39;extract;E1;true
323363;extract;E0;true
40;extract;E0;true
41;extract;E0;true
44;extract;E0;true
323368;extract;E0;true
45;extract;E0;true
47;extract;E0;true
48;extract;E1;true
10000040;extract;E1;true
49;extract;E0;true
50;extract;E0;true
563;extract;E0;true
52;extract;E0;true
565;extract;E0;true
54;extract;E1;true
57;extract;E0;true
59;extract;E0;true
60;extract;E0;true
61;extract;E1;true
829;extract;E0;true
66;extract;E1;true
67;extract;E0;true
71;extract;E0;true
72;extract;E0;true
76;extract;E0;true
78;extract;E0;true
81;extract;E0;true
82;extract;E0;true
83;extract;E0;true
96;extract;E1;true
11000014;extract;E0;true
106;extract;E0;true
108;extract;E0;true
133;extract;E1;true
134;extract;E0;true
139;extract;E0;true
142;extract;E0;true
147;extract;E0;true
155;extract;E0;true
323236;extract;E0;true
323239;extract;E0;true
164;extract;E0;true
100007;extract;E0;true
167;extract;E0;true
323241;extract;E1;true
323242;extract;E0;true
323243;extract;E0;true
178;extract;E0;true
949;extract;E0;true
182;extract;E0;true
183;extract;E0;true
185;extract;E1;true
323261;extract;E0;true
701;extract;E0;true
703;extract;E0;true
323270;extract;E0;true
198;extract;E0;true
10000222;extract;E0;true
206;extract;E0;true
208;extract;E0;true
209;extract;E0;true
210;extract;E0;true
212;extract;E0;true
213;extract;E0;true
214;extract;E1;true
323283;extract;E0;true
216;extract;E0;true
323293;extract;E0;true
323294;extract;E0;true
222;extract;E0;true
223;extract;E1;true
224;extract;E0;true
230;extract;E0;true
323299;extract;E1;true
231;extract;E1;true
323308;extract;E0;true
232;extract;E0;true
323309;extract;E0;true
1003;extract;E0;true
237;extract;E0;true
323305;extract;E0;true
238;extract;E1;true
323306;extract;E1;true
239;extract;E1;true
323316;extract;E0;true
323318;extract;E0;true
244;extract;E0;true
245;extract;E0;true
323314;extract;E0;true
1014;extract;E1;true
1100006;extract;E0;true
246;extract;E0;true
248;extract;E0;true
1017;extract;E0;true
1100011;extract;E0;true
1019;extract;E0;true
252;extract;E1;true
323321;extract;E0;true
253;extract;E1;true
323322;extract;E1;true
256;delete;D0;true
0;delete;D0;true
1;delete;D1;false
323333;delete;D0;true
2;delete;D0;true
1028;delete;D0;true
4;delete;D0;true
5;delete;D0;true
1030;delete;D0;true
262;delete;D0;true
6;delete;D0;true
263;delete;D0;true
7;delete;D0;true
1032;delete;D0;true
1033;delete;D0;true
323341;delete;D0;true
9;delete;D0;true
10;delete;D0;true
11;delete;D0;true
323336;delete;D0;true
268;delete;D0;true
13;delete;D0;true
323337;delete;D0;true
270;delete;D0;true
14;delete;D0;true
10000;delete;D0;true
272;delete;D0;true
10001;delete;D0;true
1041;delete;D0;true
273;delete;D0;true
18;delete;D0;true
274;delete;D0;true
323351;delete;D0;true
275;delete;D0;true
20;delete;D0;true
276;delete;D0;true
323345;delete;D1;false
10000013;delete;D0;true
277;delete;D0;true
1045;delete;D0;true
278;delete;D0;true
22;delete;D0;true
323347;delete;D0;true
24;delete;D0;true
25;delete;D0;true
10000001;delete;D0;true
1049;delete;D0;true
281;delete;D0;true
26;delete;D0;true
27;delete;D0;true
323352;delete;D0;true
284;delete;D0;true
323353;delete;D0;true
285;delete;D0;true
29;delete;D0;true
30;delete;D0;true
323354;delete;D0;true
31;delete;D0;true
32;delete;D0;true
288;delete;D0;true
323365;delete;D0;true
289;delete;D0;true
34;delete;D0;true
290;delete;D0;true
291;delete;D0;true
36;delete;D0;true
323360;delete;D0;true
323361;delete;D0;true
38;delete;D0;true
39;delete;D0;true
323363;delete;D0;true
40;delete;D0;true
41;delete;D0;true
44;delete;D0;true
323368;delete;D0;true
45;delete;D0;true
47;delete;D0;true
48;delete;D0;true
10000040;delete;D0;true
49;delete;D0;true
50;delete;D0;true
563;delete;D0;true
52;delete;D0;true
565;delete;D0;true
54;delete;D0;true
57;delete;D0;true
59;delete;D0;true
60;delete;D0;true
61;delete;D1;false
829;delete;D0;true
66;delete;D0;true
67;delete;D0;true
71;delete;D0;true
72;delete;D0;true
76;delete;D0;true
78;delete;D0;true
81;delete;D0;true
82;delete;D0;true
83;delete;D0;true
96;delete;D0;true
11000014;delete;D0;true
106;delete;D0;true
108;delete;D0;true
133;delete;D0;true
134;delete;D0;true
139;delete;D0;true
142;delete;D0;true
147;delete;D0;true
155;delete;D0;true
323236;delete;D0;true
323239;delete;D0;true
164;delete;D0;true
100007;delete;D0;true
167;delete;D0;true
323241;delete;D1;false
323242;delete;D0;true
323243;delete;D0;true
178;delete;D0;true
949;delete;D0;true
182;delete;D0;true
183;delete;D0;true
185;delete;D0;true
323261;delete;D0;true
701;delete;D0;true
703;delete;D0;true
323270;delete;D0;true
198;delete;D0;true
10000222;delete;D0;true
206;delete;D0;true
208;delete;D0;true
209;delete;D0;true
210;delete;D0;true
212;delete;D0;true
213;delete;D0;true
214;delete;D0;true
323283;delete;D0;true
216;delete;D0;true
323293;delete;D0;true
323294;delete;D0;true
222;delete;D0;true
223;delete;D0;true
224;delete;D0;true
230;delete;D0;true
323299;delete;D0;true
231;delete;D1;false
323308;delete;D0;true
232;delete;D0;true
323309;delete;D0;true
1003;delete;D0;true
237;delete;D0;true
323305;delete;D0;true
238;delete;D0;true
323306;delete;D0;true
239;delete;D0;true
323316;delete;D0;true
323318;delete;D0;true
244;delete;D0;true
245;delete;D0;true
323314;delete;D0;true
1014;delete;D0;true
1100006;delete;D0;true
246;delete;D0;true
248;delete;D0;true
1017;delete;D0;true
1100011;delete;D0;true
1019;delete;D0;true
252;delete;D0;true
323321;delete;D0;true
253;delete;D0;true
323322;delete;D0;true
256;merge;M0;true
0;merge;M0;true
1;merge;M1;true
323333;merge;M0;true
2;merge;M0;true
1028;merge;M0;true
4;merge;M0;true
5;merge;M0;true
1030;merge;M0;true
262;merge;M0;true
6;merge;M0;true
263;merge;M0;true
7;merge;M0;true
1032;merge;M0;true
1033;merge;M0;true
323341;merge;M2;false
9;merge;M0;true
10;merge;M0;true
11;merge;M0;true
323336;merge;M0;true
268;merge;M0;true
13;merge;M0;true
323337;merge;M0;true
270;merge;M0;true
14;merge;M0;true
10000;merge;M0;true
272;merge;M0;true
10001;merge;M0;true
1041;merge;M0;true
273;merge;M0;true
18;merge;M0;true
274;merge;M0;true
323351;merge;M0;true
275;merge;M0;true
20;merge;M0;true
276;merge;M0;true
323345;merge;M2;false
10000013;merge;M0;true
277;merge;M0;true
1045;merge;M0;true
278;merge;M0;true
22;merge;M0;true
323347;merge;M0;true
24;merge;M0;true
25;merge;M0;true
10000001;merge;M0;true
1049;merge;M0;true
281;merge;M0;true
26;merge;M0;true
27;merge;M0;true
323352;merge;M0;true
284;merge;M0;true
323353;merge;M0;true
285;merge;M0;true
29;merge;M0;true
30;merge;M0;true
323354;merge;M0;true
31;merge;M0;true
32;merge;M0;true
288;merge;M0;true
323365;merge;M0;true
289;merge;M0;true
34;merge;M0;true
290;merge;M0;true
291;merge;M0;true
36;merge;M0;true
323360;merge;M0;true
323361;merge;M0;true
38;merge;M0;true
39;merge;M0;true
323363;merge;M0;true
40;merge;M0;true
41;merge;M0;true
44;merge;M0;true
323368;merge;M0;true
45;merge;M0;true
47;merge;M0;true
48;merge;M2;false
10000040;merge;M0;true
49;merge;M0;true
50;merge;M0;true
563;merge;M0;true
52;merge;M0;true
565;merge;M0;true
54;merge;M2;false
57;merge;M0;true
59;merge;M0;true
60;merge;M0;true
61;merge;M2;false
829;merge;M0;true
66;merge;M0;true
67;merge;M0;true
71;merge;M0;true
72;merge;M0;true
76;merge;M0;true
78;merge;M0;true
81;merge;M0;true
82;merge;M0;true
83;merge;M0;true
96;merge;M0;true
11000014;merge;M0;true
106;merge;M0;true
108;merge;M2;false
133;merge;M2;false
134;merge;M0;true
139;merge;M0;true
142;merge;M0;true
147;merge;M0;true
155;merge;M0;true
323236;merge;M0;true
323239;merge;M0;true
164;merge;M2;false
100007;merge;M0;true
167;merge;M0;true
323241;merge;M2;false
323242;merge;M0;true
323243;merge;M0;true
178;merge;M0;true
949;merge;M0;true
182;merge;M0;true
183;merge;M0;true
185;merge;M0;true
323261;merge;M0;true
701;merge;M0;true
703;merge;M0;true
323270;merge;M0;true
198;merge;M0;true
10000222;merge;M0;true
206;merge;M0;true
208;merge;M0;true
209;merge;M0;true
210;merge;M0;true
212;merge;M0;true
213;merge;M0;true
214;merge;M0;true
323283;merge;M0;true
216;merge;M0;true
323293;merge;M0;true
323294;merge;M0;true
222;merge;M0;true
